"RefBlock","Timestamp","BlockCount","TxCount","GasUsed","NormWeekFeesBTC","NormWeekTXs"
1361760,1557387050,18987,5525,294392131,0.0187547649264023,5866.32959393269
1341600,1556733622,18631,4574,279997177,0.0181785510868552,4949.37684504321
1321440,1556082461,18849,5143,404750522,0.02597412230947,5500.70985198154
1301280,1555423238,17091,4143,261544827,0.0185105975507109,4886.95102685624
1281120,1554778805,18572,5972,328996517,0.0214276430628473,6482.63622657764
1260960,1554122716,19186,5225,319631898,0.0201515033785469,5490.25330970499
1240800,1553444580,17829,4730,278853852,0.0189187065667845,5348.40989399293
1220640,1552752107,18890,4778,292457057,0.0187271601983695,5099.23133933298
1200480,1552070700,17534,4899,315308392,0.0217518553075853,5632.70445990647
1180320,1551381118,18925,5437,345643110,0.0220919369012417,5791.80554821664
1160160,1550701521,18440,6084,344991052,0.0226302156452928,6651.48806941432
1140000,1550013306,16985,6396,358345452,0.0255198503820548,7591.60200176626
1119840,1549317559,18361,7548,421218741,0.0277493703563858,8287.54860846359
1099680,1548625023,17811,9119,494828352,0.0336053211262254,10321.6574027287
1079520,1547933319,15409,7226,418569945,0.0328575641165553,9453.96586410539
1059360,1547244899,17726,4718,289849345,0.0197789556421076,5365.84000902629
1039200,1546558401,17197,4516,285472821,0.0200795443555039,5294.09548177008
1019040,1545858980,17653,4006,249819121,0.0171178388240866,4574.91417889311
998880,1545166641,15206,3251,211745185,0.0168438100602394,4310.15125608313
978720,1544537574,17318,7341,449319080,0.0313833213516572,8545.70735650768
958560,1543874062,18450,4300,412245518,0.0270272183508293,4698.53658536585
938400,1543220107,16841,3024,187284836,0.0134516796879995,3619.96556023989
918240,1542573725,18379,2467,171428764,0.0112824545913488,2706.06235377333
898080,1541906862,17791,2849,272101059,0.0184999966818279,3228.36490360295
877920,1541229615,16003,2951,190130352,0.0143711600186965,3717.56295694557
857760,1540549171,18317,4956,323740497,0.0213788559901294,5454.65742206693
837600,1539859084,17686,4638,307538794,0.0210335251171774,5286.78502770553
817440,1539173493,18846,4227,274588008,0.0176239867598854,4521.71919770774
797280,1538496058,16045,3536,228980712,0.0172623913515238,4442.86444375195
777120,1537819248,17889,3581,232565008,0.0157253414767064,4035.60623847057
756960,1537154184,17556,2882,189437608,0.0130521605511962,3309.47368421053
736800,1536533925,17275,3088,201521683,0.0141106007384544,3603.70940665702
716640,1535912109,16261,2949,192335471,0.0143071758023246,3656.09987085665
696480,1535267448,17396,3211,210407192,0.0146302908394573,3721.18647965049
676320,1534645874,17381,3152,207446136,0.0144368474832058,3655.96455900121
656160,1533995475,18149,2696,174944550,0.0116597568835749,2994.73028817015
636000,1533372650,18101,2731,176481578,0.0117933880309817,3041.65294735097
615840,1532754533,17441,2752,179368396,0.0124398837108881,3181.0286107448
595680,1532139998,18080,5806,254699215,0.0170400536761062,6473.94690265487
575520,1531531403,17844,4287,198365640,0.0134467091540013,4843.41627437794
555360,1530928294,18438,16371,556261373,0.0364927734451025,17899.9544419134
535200,1530333245,17948,17417,537109459,0.0361983285940718,19563.5569422777
515040,1529689224,17596,28888,782889733,0.0538181075833599,33097.4130484201
494880,1529006849,17768,35400,944348989,0.0642888640868077,40165.6911301216
474720,1528334381,17179,7925,300217453,0.0211387758978287,9300.19209499971
454560,1527780462,18070,5118,199209339,0.0133350092116436,5709.95462091865
434400,1527413265,17316,4976,231021954,0.0161379161214137,5793.26403326403
414240,1526718276,18322,2496,174866348,0.0115445003024124,2746.39013208165
394080,1526013237,16831,2398,163059262,0.011718643177185,2872.29992276157
373920,1525292311,17077,2245,35722599,0.00253030718219828,2650.30157521813
353760,1524573742,16255,2423,2962879,0.00022047975628422,3005.08643494309
333600,1523854672,17012,2273,357000,2.53836821067482e-05,2693.60921702328
313440,1523136790,17095,1430,415880,2.94266421760749e-05,1686.38783269962
293280,1522419766,17579,2168,2060126,0.000141755982115024,2486.31207690995
273120,1521709115,17536,2848,441000,3.04193430656934e-05,3274.16058394161
252960,1520996056,18428,3158,147000,9.64896896027784e-06,3454.81224224007
232800,1520285284,16963,3192,0,0,3793.59311442551
212640,1519577866,16557,3187,420000,3.0683819532524e-05,3880.52908135532
192480,1518870807,17188,3558,0,0,4173.21852455201
172320,1518169549,16167,2863,357000,2.67104100946372e-05,3570.11690480609
152160,1517472864,17615,2181,189000,1.29783934147034e-05,2496.10899801306
132000,1516981874,18199,1167,0,0,1292.74795318424
111840,1516680117,16553,1103,0,0,1343.35045006947
91680,1516377712,12522,797,0,0,1283.14326784859
71520,1516075660,15112,917,0,0,1223.31392271043
51360,1515773285,16958,1068,0,0,1269.65915791957
31200,1515470820,18401,1181,0,0,1293.89489701647
